City ID,City,Country,Date,Max Temp,Clouds,Humidity,Wind Speed,Lat,Lng
0,Livingston,GB,1608576268,42.01,90,100,2.24,55.9,-3.52
1,Castro,BR,1608576059,76.24,67,84,7.09,-24.79,-50.01
2,Ilulissat,GL,1608576269,21.2,20,53,13.87,69.22,-51.1
3,Butaritari,KI,1608576269,80.11,100,81,10.74,3.07,172.79
4,Tuatapere,NZ,1608576269,55.0,100,96,1.99,-46.13,167.68
5,Busselton,AU,1608576269,57.99,0,71,3.0,-33.65,115.33
6,Punta Arenas,CL,1608576230,53.6,75,50,31.09,-53.15,-70.92
7,Pochutla,MX,1608576269,91.4,75,41,9.17,15.74,-96.47
8,Saskylakh,RU,1608576269,-28.08,88,83,11.41,71.92,114.08
9,Bakal,RU,1608576270,7.65,100,92,9.82,54.94,58.81
10,Hobyo,SO,1608576270,80.55,100,77,21.65,5.35,48.53
11,Bluff,NZ,1608576270,55.0,100,96,1.99,-46.6,168.33
12,Puerto Ayora,EC,1608576270,80.6,40,65,13.87,-0.74,-90.35
13,Ikare,NG,1608576270,80.22,40,63,3.44,7.49,5.23
14,Chodavaram,IN,1608576271,62.6,0,88,2.24,17.83,82.95
15,Yellowknife,CA,1608576271,-18.99,75,75,6.93,62.46,-114.35
16,Khanbari,NP,1608576271,52.21,0,56,1.99,27.37,87.2
17,Udachny,RU,1608576271,-36.4,0,65,2.24,66.42,112.4
18,Talnakh,RU,1608576271,-38.2,20,65,17.9,69.49,88.4
19,Grand Gaube,MU,1608576272,78.01,3,77,5.99,-20.01,57.66
20,Hobart,AU,1608576010,59.0,90,82,4.7,-42.88,147.33
21,Umm Bāb,QA,1608576272,64.4,1,68,13.87,25.21,50.81
22,Pevek,RU,1608576272,-12.95,87,89,3.31,69.7,170.31
23,Saint-Philippe,RE,1608576272,78.8,0,78,18.34,-21.36,55.77
24,Taoudenni,ML,1608576272,65.61,0,29,13.06,22.68,-3.98
25,Lewistown,US,1608576272,39.0,1,93,2.95,40.6,-77.57
26,Lampazos de Naranjo,MX,1608576273,72.68,83,29,5.39,27.02,-100.52
27,Praia da Vitória,PT,1608576273,62.6,40,67,21.12,38.73,-27.07
28,Rikitea,PF,1608576273,76.55,0,75,17.6,-23.12,-134.97
29,Hong Kong,HK,1608576236,61.0,79,63,9.28,22.29,114.16
30,Cape Town,ZA,1608576231,71.6,20,73,24.16,-33.93,18.42
31,Tuktoyaktuk,CA,1608576273,-31.0,20,66,6.93,69.45,-133.04
32,Atuona,PF,1608576273,77.99,1,76,13.2,-9.8,-139.03
33,Kavieng,PG,1608576274,82.44,65,76,6.24,-2.57,150.8
34,Gazojak,TM,1608576274,27.21,100,90,8.23,41.19,61.4
35,Bamnet Narong,TH,1608576274,59.18,55,65,8.5,15.5,101.69
36,Thompson,CA,1608576274,-7.6,90,76,2.24,55.74,-97.86
37,Mahébourg,MU,1608576274,78.8,40,78,12.75,-20.41,57.7
38,Hermanus,ZA,1608576275,70.0,74,84,5.01,-34.42,19.23
39,Ushuaia,AR,1608576073,53.6,75,40,10.29,-54.8,-68.3
40,Dikson,RU,1608576275,-27.47,48,86,6.76,73.51,80.55
41,Tarakan,ID,1608576261,78.66,100,85,6.44,3.3,117.63
42,Eyl,SO,1608576275,78.55,82,70,21.0,7.98,49.82
43,Bredasdorp,ZA,1608576194,68.0,100,88,10.29,-34.53,20.04
44,Kavaratti,IN,1608576276,81.41,100,64,5.26,10.57,72.64
45,Port Elizabeth,ZA,1608576276,69.8,100,88,6.93,-33.92,25.57
46,Waipawa,NZ,1608576276,64.4,43,82,16.11,-41.41,175.52
47,Tiksi,RU,1608576276,-23.39,100,87,4.09,71.69,128.87
48,Barrow,US,1608576276,-22.0,20,74,9.17,71.29,-156.79
49,Mar del Plata,AR,1608576034,64.4,0,59,11.41,-38.0,-57.56
50,Mataura,NZ,1608576277,55.0,65,96,1.99,-46.19,168.86
51,Narsaq,GL,1608576277,23.0,75,67,4.7,60.92,-46.05
52,Farnham,GB,1608576277,55.99,75,93,14.99,51.21,-0.8
53,Puerto Escondido,MX,1608576277,86.0,5,70,5.82,15.85,-97.07
54,Sibolga,ID,1608576277,77.31,88,83,2.46,1.74,98.78
55,Khatanga,RU,1608576278,-29.67,64,85,8.55,71.97,102.5
56,Niterói,BR,1608576278,93.2,20,66,18.34,-22.88,-43.1
57,Port Alfred,ZA,1608576278,70.0,100,97,1.01,-33.59,26.89
58,George Town,MY,1608575999,78.8,20,83,4.7,5.41,100.34
59,Kettering,US,1608576278,39.99,90,86,11.41,39.69,-84.17
60,Cabo San Lucas,MX,1608576125,78.01,40,50,2.24,22.89,-109.91
61,Teya,RU,1608576278,-6.45,100,87,7.38,60.38,92.63
62,Chabahar,IR,1608576096,71.78,0,62,7.2,25.29,60.64
63,Bani Walid,LY,1608576279,58.21,98,72,8.57,31.76,13.99
64,Cherskiy,RU,1608576279,-32.13,8,84,3.62,68.75,161.3
65,Latung,PH,1608576279,80.96,99,80,4.83,5.5,120.88
66,Sicamous,CA,1608576279,33.8,100,100,1.12,50.83,-118.99
67,Halmaj,HU,1608576279,37.4,90,86,5.82,48.25,21.0
68,Ayan,RU,1608576280,1.62,33,82,15.1,56.45,138.17
69,Hasaki,JP,1608576152,24.8,20,85,2.24,35.73,140.83
